Neighborhood,Year,Population,0-9 years,10-19 years,20-34 years,35-54 years,55-64 years,65 years and over,less than High School,High School or GED,Some College or Associate's Degree,Bachelor's Degree or Higher,Foreign Born,White,Black/ African American,Hispanic,Asian/PI,Other,Occupied Housing Units,Owner-occupied,Renter-occupied
Allston,2000,19075.0,924.0,2907.0,11647.0,2422.0,566.0,609.0,1603.0,1503.0,1128.0,4716.0,6457.0,11253.0,973.0,2545.0,3397.0,907.0,7292.0,709.0,6583.0
Allston,2001,19398.700000000536,907.899999999976,2954.7000000000553,11927.400000000489,2411.9999999999854,586.2000000000335,610.5000000000023,1543.8000000000175,1468.5333333333256,1137.1333333333314,4907.933333333291,6480.46666666666,11408.500000000175,983.2000000000116,2570.4000000000306,3508.300000000134,928.3000000000175,7326.600000000035,719.1000000000131,6607.500000000022
Allston,2002,19722.400000000373,891.7999999999847,3002.400000000038,12207.800000000163,2401.9999999999854,606.4000000000233,612.0000000000009,1484.600000000035,1434.0666666666802,1146.2666666666628,5099.866666666523,6503.93333333332,11564.000000000116,993.4000000000087,2595.8000000000466,3619.600000000093,949.5999999999985,7361.200000000019,729.2000000000044,6632.000000000007
Allston,2003,20046.100000000093,875.6999999999898,3050.100000000006,12488.199999999953,2391.9999999999927,626.6000000000131,613.5,1425.399999999965,1399.5999999999913,1155.400000000005,5291.800000000047,6527.400000000016,11719.5,1003.6000000000022,2621.200000000026,3730.899999999994,970.8999999999869,7395.800000000003,739.2999999999993,6656.5
Allston,2004,20369.80000000063,859.5999999999694,3097.800000000061,12768.600000000442,2381.999999999978,646.8000000000393,615.0000000000018,1366.199999999997,1365.1333333333168,1164.5333333333328,5483.733333333337,6550.866666666676,11875.000000000233,1013.8000000000102,2646.600000000064,3842.20000000007,992.2000000000189,7430.400000000038,749.4000000000124,6681.000000000022
Allston,2005,20693.500000000233,843.5000000000036,3145.4999999999854,13049.0,2371.9999999999964,667.0000000000073,616.5000000000005,1307.000000000029,1330.6666666666715,1173.6666666666642,5675.666666666628,6574.3333333333285,12030.5,1023.9999999999964,2672.0000000000146,3953.4999999998836,1013.4999999999927,7464.999999999985,759.5,6705.499999999993
Allston,2006,21017.200000000186,827.3999999999942,3193.199999999997,13329.400000000256,2361.9999999999964,687.2000000000044,618.0000000000005,1247.800000000032,1296.199999999997,1182.7999999999956,5867.5999999999185,6597.800000000003,12186.0,1034.2000000000007,2697.4000000000087,4064.7999999999593,1034.7999999999956,7499.599999999984,769.6000000000058,6729.999999999993
Allston,2007,21340.899999999907,811.2999999999956,3240.8999999999796,13609.800000000047,2351.9999999999964,707.4000000000087,619.5,1188.5999999999622,1261.733333333308,1191.933333333338,6059.533333333326,6621.266666666677,12341.5,1044.3999999999978,2722.8000000000175,4176.0999999999185,1056.0999999999913,7534.199999999968,779.7000000000044,6754.499999999993
Allston,2008,21664.59999999951,795.2000000000189,3288.599999999933,13890.19999999972,2342.0000000000073,727.5999999999913,620.9999999999982,1129.3999999998923,1227.2666666666046,1201.0666666666802,6251.4666666669655,6644.733333333374,12496.999999999884,1054.5999999999876,2748.199999999997,4287.399999999878,1077.3999999999796,7568.79999999993,789.799999999992,6778.999999999964
Allston,2009,21988.29999999993,779.0999999999913,3336.300000000003,14170.600000000326,2331.999999999989,747.8000000000175,622.5000000000009,1070.199999999837,1192.7999999999156,1210.200000000019,6443.4000000003725,6668.200000000055,12652.5,1064.800000000003,2773.6000000000204,4398.700000000012,1098.700000000019,7603.39999999998,799.9000000000051,6803.5
Allston,2010,22312.0,763.0,3384.0,14451.0,2322.0,768.0,624.0,1010.9999999998545,1158.3333333332557,1219.3333333333467,6635.333333333605,6691.666666666715,12808.0,1075.0,2799.0,4510.0,1120.0,7638.0,810.0,6828.0
