Neighborhood,Population,0-9 years,10-19 years,20-34 years,35-54 years, 55-64 years  , 65 years and over  ,less than High School,High School or GED,Some College or Associate's Degree,Bachelor's Degree or Higher,Foreign Born,White,Black/ African American,Hispanic,Asian/PI,Other,Male (Labor Force 16+),Female (Labor Force 16+),Occupied Housing Units,Owner-occupied,Renter-occupied
Allston,19363,550,2691,13084,1711,675,652,715,986,1265,7595,6809,10494,1194,2674,4200,801,,,6457,631,5826
Back Bay ,18176,798,1632,7498,3498,2118,2632,324,699,1095,12048,4002,13731,757,1480,1794,414,,,9824,3196,6628
Beacon Hill ,9751,728,322,4758,1826,921,1196,182,176,455,7135,1217,8137,123,676,603,212,,,5458,1849,3609
Brighton,51785,3271,3244,27399,8337,3340,6194,3107,4549,4861,23291,13090,33674,2287,5609,8241,1974,,,21605,5117,16488
Charlestown,18901,2424,1196,5738,5315,2268,1960,1432,2133,1728,9203,2902,13835,1103,2238,1354,371,,,8931,4068,4863
Dorchester,125947,15270,16381,35301,32714,13047,13234,16446,26352,19625,21598,43261,27110,57159,22788,11896,6994,,,44086,15340,28746
Downtown,17581,929,2666,5888,3544,2023,2531,2290,1199,1278,7532,5869,9914,603,1065,5560,439,,,7552,2078,5474
East Boston,46655,5666,4835,13673,14034,4259,4188,10213,10279,4640,7430,23504,15194,1193,26787,1776,1705,,,16286,4651,11635
Fenway,32598,637,8815,17097,3296,1178,1575,820,1101,1280,9329,8828,19598,1453,3778,6622,1147,,,10926,1315,9611
Harbor Islands,322,0,2,24,190,71,35,51,105,128,28,20,173,95,9,0,45,,,0,0,0
Hyde Park,37094,3755,5065,7725,9939,5436,5174,3032,7567,7825,7314,10840,9071,16891,9230,667,1235,,,12891,7841,5050
Jamaica Plain,39314,3968,3306,12991,10570,4135,4344,2329,4255,3923,19145,9140,21644,4399,9324,2421,1526,,,16092,7486,8606
Longwood,5389,6,2709,2506,88,48,32,13,75,48,384,787,3783,316,530,602,158,,,280,49,231
Mattapan,25586,3115,3234,5513,7471,3063,3190,3095,5997,5547,2964,8404,1739,18680,3920,453,794,,,8866,3356,5510
Mission Hill ,17406,1035,2265,8374,2646,1136,1950,1479,1648,1745,4587,5363,7637,2772,3487,3214,296,,,6270,589,5681
North End ,9271,271,227,5421,1688,608,1056,335,554,675,6070,1169,8196,45,592,300,138,,,5338,1538,3800
Roslindale,29206,3528,2772,6166,8927,4109,3704,2030,5144,4595,9543,7468,14982,5999,6737,595,893,,,11406,6480,4926
Roxbury,52944,6988,7911,13886,12885,5742,5532,7783,9394,7758,7128,15337,5574,27246,15897,1941,2286,,,19406,3980,15426
South Boston,36212,2783,2101,16456,8392,3249,3231,2704,4778,3831,17996,4569,27874,2272,3955,1537,574,,,16628,6565,10063
South Boston Waterfront,3443,120,116,1656,1065,281,205,62,209,269,2456,610,2803,94,104,370,72,,,1830,696,1134
South End ,32040,2656,1575,11602,8562,3556,4089,2965,3061,2814,16986,7618,17917,3385,4334,5317,1087,,,16193,6674,9519
West End ,6173,276,346,2620,1501,601,829,291,499,553,3741,1528,3866,432,781,929,165,,,3134,655,2479
West Roxbury,33930,4654,3024,5847,9569,4775,6061,2027,4904,5136,13124,7274,23545,3513,3454,2564,854,,,13757,8892,4865
