GEOID,2020_eviction,2021_eviction,2022_eviction,2023_eviction,own_occ_rate,corp_own_rate,median_yearbuilt,median_price,median_prslpr,mortgage,median_totrooms,median_bathrooms,median_bedrooms,median_lotsize,median_intersf,median_flip_horizon,median_price_diff,median_price_diff_pch,median_lasqbin,mean_month_horizon,buyer_llc_ind_sum,buyer_bus_ind_sum,buyer_trst_ind_sum,buyer_bnk_ind_sum,buyer_gse_ind_sum,buyer_gov_ind_sum,seller_llc_ind_sum,seller_llp_ind_sum,seller_bus_ind_sum,seller_trst_ind_sum,seller_bnk_ind_sum,seller_gse_ind_sum,seller_gov_ind_sum,flip_ind_sum,buy_side_flip_sum,sell_side_flip_sum,restype_R1F_sum,sum_institutional_investor,sum_large_investor,sum_medium_investor,sum_non_investor,sum_small_investor,sum_non_small_llc_investor,sum_small_llc_investor,count_1.FAM.RES,count_2.FAM.RES,count_3.FAM.RES,count_CONDOMINIUM,count_RES.DEV.LAND,percent_owners,num_sales_transactions,years,pop,male,female,pop_u18,pop_18_64,pop_65o,White,Black/ African American,American Indian,Asian/PI,Other,Multirace,Hispanic,fam,hh,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,acs_year,mhi,mhi_me,o_mhi,o_mhi_me,r_mhi,r_mhi_me
25017350103,5,27,54,40,0,0,1926.5,385250,0,278000,7,2,3,4050,2401,986.5,35000,7.78,2450.5,12,12,4,2,2,0,0,7,0,2,10,1,0,0,11,12,11,8,3,2,3,111,11,117,13,8,61,2,42,0,48.5,130,2010,1210,599,611,180,855,175,905,85,0,63,27,19,111,269,497,269,121,61,52,20,10,5,228,132,68,18,6,3,0,1,2007-11,66289,14867,67946,24272,62500,17116
25017351500,6,7,16,15,0,0,1920,316000,0,214400,3,1,1,0,1055,1183,15367,8.01,1050.5,11,22,6,20,3,1,0,14,0,13,20,5,0,0,19,20,19,18,9,12,8,357,13,373,26,18,25,26,272,0,39.3,399,2010,2310,1156,1154,299,1694,317,1262,198,5,265,72,96,412,435,1104,435,197,107,84,27,10,10,669,472,129,39,17,9,3,0,2007-11,46088,8581,73625,36340,36193,12570
25017373100,1,6,4,5,0,0,1910,453750,142625,315600,7,2,3,7599,1700,997.5,55850,14.41,1700.5,12,15,8,14,1,1,0,12,0,8,67,1,0,3,70,73,70,214,16,10,19,627,34,690,16,214,145,19,298,3,40.4,706,2010,4755,2194,2561,845,3255,655,3793,139,8,501,29,108,177,1066,2085,1066,471,262,218,80,18,17,1019,719,213,57,22,3,4,1,2007-11,77575,20060,103478,37193,63813,11158
25017373600,2,0,4,0,0,0,1945,537500,165000,258800,6,2,3,41502,1407.5,1268.5,54250,12.53,1450.5,10,15,8,49,0,0,0,32,0,13,124,1,0,0,50,53,50,295,17,6,14,659,24,705,15,295,19,3,386,4,38.2,720,2010,6026,2892,3134,648,4889,489,4747,146,1,600,9,142,381,718,988,718,303,156,156,74,20,9,270,191,40,17,12,4,2,4,2007-11,137460,45902,213843,31448,74085,44797
25021400600,4,1,3,2,0,1,1915,480000,194500,290000,5,2,2,0,1260,1121,60000,13.58,1250.5,12,34,10,34,1,1,0,84,0,3,82,5,1,0,87,92,87,201,8,6,27,1176,36,1216,37,201,23,13,977,1,36.6,1253,2010,5177,2381,2796,961,3615,601,4020,109,5,691,16,119,217,1153,2116,1153,517,271,255,81,26,3,963,617,207,72,50,15,2,0,2007-11,138506,37597,162422,16057,55341,27027
25021401200,6,4,4,12,0,0,1945,690000,110000,417000,8,3,3,7816.5,2142.5,1102,100000,17.325,2150.5,11,37,6,26,6,0,0,84,0,24,62,11,0,0,68,71,68,578,10,7,15,729,33,752,42,578,17,13,157,9,44.2,794,2010,7031,3262,3769,1732,4284,1015,4870,297,4,1333,31,168,328,1759,2413,1759,649,415,473,179,36,7,654,521,102,24,3,4,0,0,2007-11,131875,15448,163531,27932,89798,17593
25025000100,10,25,32,31,0.297403619,0.229740362,1920,396921,0,266000,7,2,3,3450,1920,1125,66410.5,24.215,1950.5,12,23,2,11,3,1,0,28,0,13,29,10,1,0,19,20,19,56,13,5,19,332,16,359,26,56,95,39,145,0,54.8,385,2010,4254,2256,1998,579,3326,349,2508,249,3,468,250,155,621,698,1616,698,265,167,142,69,38,17,918,394,267,129,75,36,12,5,2007-11,53699,11300,82944,19412,50102,25329
25025000201,3,9,10,7,0.380901288,0.169527897,1920,371500,0,296595,7,2,3,3671,1795,1176.5,39750,12.43,1850.5,14,5,3,5,5,0,0,3,0,7,32,8,0,1,18,20,18,78,11,8,14,300,15,338,10,78,102,22,128,0,48,348,2010,3854,1904,1950,439,3151,264,2728,244,5,324,70,76,407,571,1541,571,270,133,109,32,12,15,970,375,299,191,73,26,5,1,2007-11,64792,8084,86765,38872,62480,6015
25025000202,7,2,4,16,0.476846058,0.17146433,1920,430000,0,296900,7,2,3.5,4250,1909.5,1040,41298,12.515,1950.5,9,10,5,10,3,1,0,5,0,6,33,9,1,0,19,19,19,71,12,7,10,236,9,260,14,71,84,11,86,0,47.1,274,2010,3885,1962,1923,656,2889,340,2370,273,12,525,50,59,596,711,1480,711,259,185,149,80,19,19,769,361,205,104,62,27,7,3,2007-11,53542,8119,63679,27654,48333,15442
25025000301,0,2,6,2,0.41750503,0.172032193,1950,350700,0,261675,5,1,3,1390,1180,1093,30000,11.97,1250.5,13,8,3,10,2,1,0,60,0,7,46,3,1,0,21,21,21,53,4,5,17,297,23,337,9,53,58,14,206,3,41.3,346,2010,2740,1395,1345,273,2136,331,2050,124,0,295,24,57,190,463,1159,463,226,117,81,27,9,3,696,333,200,109,43,9,1,1,2007-11,89236,7378,88056,14554,93194,12816
25025000302,2,0,2,2,0.461467038,0.113277623,1963,305500,117000,224625,5,2,3,1055,1053,1310.5,37500,13.01,1050.5,12,4,2,13,2,1,0,14,0,9,36,3,1,0,32,33,32,92,7,9,13,462,14,499,6,92,61,3,344,0,42.6,505,2010,3142,1568,1574,310,2497,335,2295,89,2,449,30,48,229,545,1276,545,289,135,85,28,7,1,731,321,215,150,29,12,3,1,2007-11,78198,15566,71569,8300,85455,25744
25025000401,1,6,8,4,0.257448434,0.176470588,1930,223950,86500,161375,4,1,2,760,760,966.5,33000,17.345,750.5,13,18,8,15,8,3,0,78,0,32,108,16,3,0,124,127,124,31,35,11,40,879,63,1004,24,31,77,21,881,0,35.2,1028,2010,5672,2732,2940,404,4087,1181,4089,132,2,1033,30,99,287,834,2877,834,520,162,75,37,19,21,2043,1250,463,186,98,31,9,6,2007-11,35104,11614,51563,25692,29583,11430
25025000402,4,1,3,1,0.360753221,0.160555005,1925,345000,16500,210650,4,1,2,1214,1166,1080.5,29477,13.42,1150.5,13,18,9,25,0,4,0,73,0,11,53,0,4,0,37,41,37,59,17,16,12,441,22,490,18,59,82,10,324,0,42.5,508,2010,3648,1902,1746,366,3024,258,2734,69,0,545,28,83,189,473,1461,473,250,91,60,31,18,23,988,439,278,133,92,24,8,14,2007-11,55459,7477,116667,34493,46800,8585
25025000502,4,0,21,6,0.209809264,0.326067212,1927,252375,90000,164000,4,1,2,760,760,1094,32000,14.515,750.5,12,16,2,20,3,1,0,131,0,3,29,6,1,0,60,62,60,3,10,14,19,622,29,676,18,3,7,7,665,0,35,694,2010,6303,2888,3415,85,5925,293,4719,268,6,706,16,142,446,391,1872,391,306,65,12,4,1,3,1481,998,343,83,37,10,3,7,2007-11,46205,9882,96648,16052,39342,18186
25025000503,1,2,3,3,0.231721035,0.132733408,1935,211750,105700,160000,3,1,1,638,637,1102,27500,15.26,650.5,14,5,4,12,2,2,0,9,0,5,27,3,2,1,57,59,57,1,8,8,10,539,25,583,7,1,2,2,581,0,25.6,590,2010,2211,1028,1183,54,2016,141,1739,55,2,264,11,44,96,246,1341,246,181,50,12,2,1,0,1095,667,347,60,18,1,1,1,2007-11,49531,24007,49688,30677,47337,30538
25025000504,7,17,10,16,0.269203665,0.181818182,1920,245000,92250,172000,4,1,1,713.5,715,1148,34500,14.2,750.5,13,15,14,23,0,2,0,95,0,12,63,1,1,0,101,102,101,6,24,17,33,880,26,965,15,6,14,6,931,0,27.6,980,2010,4985,2135,2850,160,4020,805,3862,168,4,540,11,82,318,534,2637,534,375,99,42,8,5,5,2103,1218,533,177,122,38,10,5,2007-11,33444,6758,75521,30500,26264,6202
25025000601,4,4,7,3,0.358350951,0.184989429,1922,335000,21300,228480,4,2,2,1221,1147,924,45500,16.255,1150.5,12,10,2,14,5,3,0,12,1,6,74,8,2,0,39,41,39,79,15,9,24,385,26,446,13,79,54,21,275,0,39.2,459,2010,3571,1842,1729,295,2846,430,2480,82,2,540,94,85,288,521,1450,521,259,134,79,24,13,12,929,438,250,132,69,27,10,3,2007-11,54635,4989,60833,23810,54386,4966
25025000602,15,45,42,43,0.252411576,0.207395498,1920,230000,110250,168211,4,1,1,696,695,1119,33250,16.955,650.5,12,10,4,13,2,1,0,23,0,6,16,3,2,0,47,46,47,16,12,5,24,344,17,390,12,16,20,10,334,0,31.3,402,2010,3974,1943,2031,476,3019,479,2137,424,3,637,28,104,641,667,1968,667,381,121,88,50,16,11,1301,854,286,80,37,26,10,8,2007-11,26648,8824,58667,16860,24457,10779
25025000701,4,18,22,10,0.209971237,0.18696069,1964,251500,110625,179950,4,1,2,770,770,1152.5,35861,14.805,750.5,14,16,3,22,2,3,0,14,0,5,44,5,3,0,58,58,58,6,19,11,30,547,21,610,18,6,17,9,583,0,33,628,2010,4446,2238,2208,172,4106,168,3050,179,4,732,42,106,333,474,2294,474,315,95,37,19,5,3,1820,876,664,188,57,24,9,2,2007-11,51354,10444,100513,33654,45947,8795
25025000703,9,10,4,14,0.103053435,0.309160305,1920,269600,115000,185600,4,1,2,1034,1034,1079,25500,10.37,1050.5,12,13,3,3,2,0,0,5,0,5,12,2,0,0,13,13,13,3,2,4,9,122,14,137,14,3,7,13,109,0,42.4,151,2010,2791,1391,1400,58,2690,43,1708,85,3,663,57,93,182,157,1395,157,94,33,18,8,2,2,1238,644,364,145,60,16,2,7,2007-11,20129,4575,78511,3228,19068,7109
25025000704,17,25,29,28,0.161971831,0.228873239,1920,232000,120904,159849,4,1,2,796,795,1021,32000,13.03,750.5,12,23,9,29,4,5,0,45,0,17,83,12,3,1,94,94,94,6,31,17,28,685,37,774,24,6,15,8,742,0,33.6,798,2010,4801,2458,2343,243,4393,165,2873,288,3,878,73,111,575,512,2350,512,286,118,59,25,16,8,1838,943,543,176,118,36,14,8,2007-11,44774,4743,80106,14894,42019,7297
25025000802,23,28,37,42,0.230980123,0.284441398,1920,357000,2500,251829.5,4,2,2,1522.5,1322,946,39927.5,14.56,1350.5,11,44,16,25,3,1,0,61,0,29,70,9,1,0,75,75,75,91,60,22,39,582,63,721,45,91,127,78,395,0,38.9,766,2010,8136,4611,3525,671,7137,328,4292,318,6,1568,250,236,1466,924,3011,924,382,201,164,88,31,58,2087,744,691,292,179,100,42,39,2007-11,36881,8559,93125,31755,28109,9589
