Neighborhood,Population,0-9 years,10-19 years,20-34 years,35-54 years,55-64 years,65 years and over,less than High School,High School or GED,Some College or Associate's Degree,Bachelor's Degree or Higher,Foreign Born,White,Black/ African American,Hispanic,Asian/PI,Other,Male (Labor Force 16+),Female (Labor Force 16+),Occupied Housing Units,Owner-occupied,Renter-occupied
Allston,22312,763,3384,14451,2322,768,624,-,-,-,-,-,12808,1075,2799,4510,1120,-,-,7638,810,6828
Back Bay,16622,713,1149,7501,3593,1689,1977,-,-,-,-,-,13096,661,943,1564,358,-,-,9829,3230,6599
Beacon Hill,9023,493,284,4590,1816,905,935,-,-,-,-,-,7832,178,374,483,156,-,-,5450,1836,3614
Brighton,52685,2668,3168,29893,8375,3207,5374,-,-,-,-,-,36761,2356,4641,7058,1869,-,-,22972,5625,17347
Charlestown,16439,1806,1108,5494,4668,1679,1684,-,-,-,-,-,12458,764,1591,1344,282,-,-,8033,3719,4314
Dorchester,114249,15545,17210,28444,30941,11366,10743,-,-,-,-,-,25322,49144,19407,10637,9739,-,-,41237,14201,27036
Downtown,15992,717,2561,5087,3603,1747,2277,-,-,-,-,-,9261,706,759,4933,333,-,-,6876,1971,4905
East Boston,40508,5554,4508,12476,11478,2960,3532,-,-,-,-,-,15051,1283,21419,1413,1342,-,-,14651,4028,10623
Fenway,33895,450,7910,20390,2629,954,1562,-,-,-,-,-,21995,1659,2751,6379,1111,-,-,12837,1373,11464
Hyde Park,32317,3878,4682,6221,9500,3906,4130,-,-,-,-,-,9128,15111,6507,535,1036,-,-,11712,6782,4930
Jamaica Plain,35541,3683,3195,11606,9786,3873,3398,-,-,-,-,-,19061,4462,9140,1692,1186,-,-,14962,6675,8287
Longwood,4861,56,2255,2291,145,63,51,-,-,-,-,-,3381,377,457,481,165,-,-,395,63,332
Mattapan,22500,2853,3344,4657,6258,2715,2673,-,-,-,-,-,1434,17179,2722,386,779,-,-,8349,3320,5029
Mission Hill,16874,1035,2354,7953,2639,1121,1772,-,-,-,-,-,7992,2680,3216,2523,463,-,-,6529,759,5770
North End,8608,243,223,5064,1537,624,917,-,-,-,-,-,7888,53,308,250,109,-,-,5290,1268,4022
Roslindale,26368,3206,3076,5523,8140,3105,3318,-,-,-,-,-,13363,5376,6156,675,798,-,-,10433,5464,4969
Roxbury,49111,6477,8534,12521,12346,4704,4529,-,-,-,-,-,5002,25691,14175,1030,3213,-,-,17821,3552,14269
South Boston Waterfront,2564,87,70,1475,615,177,140,-,-,-,-,-,2194,40,129,154,47,-,-,1370,520,850
South Boston,31110,2553,2367,12494,7658,2893,3145,-,-,-,-,-,24344,1532,3216,1488,530,-,-,14844,5975,8869
South End,29612,2344,1733,10350,8840,3075,3270,-,-,-,-,-,16024,3968,4019,4762,839,-,-,15629,5702,9927
West End,5423,270,280,2286,1389,503,695,-,-,-,-,-,3450,615,481,746,131,-,-,2882,681,2201
West Roxbury,30445,3845,2944,5346,8899,3935,5476,-,-,-,-,-,22302,2959,2573,1976,635,-,-,12960,8237,4723
